"Nome completo";"Entidade";
"Protheus > Folha de Pagamento > FGTS";"Central de Serviços";
"Protheus > Folha de Pagamento > Integração de Titulos";"Central de Serviços";
"Protheus > Folha de Pagamento > Relatório";"Central de Serviços";
"Protheus > Informações ausentes";"Central de Serviços";
"Protheus > Instalação";"Central de Serviços";
"Protheus > Inventário";"Central de Serviços";
"Protheus > Liberação Acesso";"Central de Serviços";
"Protheus > Liberação de Pedido";"Central de Serviços";
"Protheus > Liberação de solicitação no armazém";"Central de Serviços";
"Protheus > Liberar ESTOQUE";"Central de Serviços";
"Protheus > Manutenção de Registros";"Central de Serviços";
"Protheus > Meu usuário ou senha não funciona";"Central de Serviços";
"Protheus > O sistema travou";"Central de Serviços";
"Protheus > Preciso de uma informação";"Central de Serviços";
"Protheus > Replicar BASE PROD";"Central de Serviços";
"Protheus > Rescisão";"Central de Serviços";
"Protheus > Resetar senha do Sistema";"Central de Serviços";
"Protheus > RPS Não Transmitida";"Central de Serviços";
"Protheus > Sistema Indisponível";"Central de Serviços";
"Protheus > Solicitar relatório";"Central de Serviços";
"Protheus > SST";"Central de Serviços";
"Protheus > SST > ASO";"Central de Serviços";
"Protheus > SST > ATESTADO";"Central de Serviços";
"Protheus > Titulo não Existe";"Central de Serviços";
"Protheus > Transferência";"Central de Serviços";
"Protheus > Treinamento de Utilização";"Central de Serviços";
"Recuperação de Dados";"Central de Serviços";
"REUNIAO";"Central de Serviços";
"Sankhya";"Central de Serviços";
"SERVIÇOS EXTERNOS";"Central de Serviços";
"SERVIÇOS EXTERNOS > Banco";"Central de Serviços";
"SERVIÇOS EXTERNOS > Diretoria";"Central de Serviços";
"Software";"Central de Serviços";
"Software > Apareceu algo no meu computador mas não sei o que é";"Central de Serviços";
"Software > As pastas no google drive não abrem";"Central de Serviços";
"Software > Assinatura Digital";"Central de Serviços";
"Software > Atualizar Software";"Central de Serviços";
"Software > Computador lento";"Central de Serviços";
"Software > Dúvidas Excel";"Central de Serviços";
"Software > Instalação de software";"Central de Serviços";
"Software > Não encontro o drive";"Central de Serviços";
"Software > Office não está funcionando";"Central de Serviços";
"Software > Preciso de ajuda";"Central de Serviços";
"Tablet - Reiniciando";"Central de Serviços";
"TOOLBIT";"Central de Serviços";
"TOOLBIT > Cadastro";"Central de Serviços";
"TOOLBIT > Treinamento de Utilização";"Central de Serviços";
"Treinamento";"Central de Serviços";
"Treinamento > Comercial";"Central de Serviços";
"Treinamento > Departamento Pessoal";"Central de Serviços";
"Treinamento > Financeiro";"Central de Serviços";
"Treinamento > Operacional";"Central de Serviços";
"Treinamento > Recursos Humanos";"Central de Serviços";
"Treinamento > SESMIT";"Central de Serviços";
